class,precision,recall,f1-score,support
Normal,0.7816,0.9067,0.8395,75
Benign,0.6,0.5,0.5455,24
Malignant,0.9823,0.9174,0.9487,121
macro avg,0.788,0.7747,0.7779,220
weighted avg,0.8722,0.8682,0.8675,220
