class,precision,recall,f1-score,support
Normal,0.8784,0.8667,0.8725,75
Benign,0.5455,0.75,0.6316,24
Malignant,1.0,0.9339,0.9658,121
macro avg,0.8079,0.8502,0.8233,220
weighted avg,0.909,0.8909,0.8975,220
